번호,공시번호,상표명(자재명),자재구분,사업자,사업자번호,유효기간,공시기관,주의사항,등재일자,가격,기타사항,미생물 학명,농약/비료등록여부,연락처(사업장),효능효과 표시여부,효능효과 표시구분,효능효과 세부내용,제조장주소
1553,공시-3-4-067,리퍼(RE-PUR)(미생물),병해관리용,농업회사법인 (주)오브제바이오,372-87-03164,2023.11.23 ~ 2026.11.22,국립순천대학교 산학협력단,○ 미생물제제이므로 햇빛을 피해 반드시 - 늘한 곳에 보관(1~35℃) ○ 한 번 사용하신 제품은 가급적 빨리 사용 ○ 미생물제제이므로 다른 용기에 옮겨 보관하지 마십시오.,2023.11.23,"25,000원/500ml",- 보증성분: Burkholderia capacia JK11 1×10^6 CFU/mL 이상,,-,010-4456-5426,표시,,포도 잿빛곰팡이병,광주광역시 광산구 평동산단로 246-43 (월전동)
1557,공시-2-5-322,바구토충왕(미생물추출물+식물추출물+파라핀오일),충해관리용,㈜엔비아그로,305-86-36784,2024.01.25 ~ 2027.01.24,강원대학교 산학협력단,"- 사용량을 준수하여 주시고, 기후 변화 또는 재배 환경에 따라 사용량을 조절하여 사용하십시오. - 개봉 후 가급적 빠른 시간 내에 사용하십시오. - 제품을 먹지 않도록 주의하십시오. - 사용 후 남은 제품은 밀봉 후 직사광선이 없는 냉암소에 보관하여 주십시오.",2024.01.25,"15,000원/1kg, 25,000원/1.5kg, 30,000원/2kg","*주성분의 종류 및 함량: Oleic acid 0.1%, Thymol 0.3%, Paraffin oil 1.3%",,없음,041-754-1015,표시,,"적용대상 작물명 및 효과: 벼(벼물바구미), 파(뿌리응애) / 무처리구 대비 50% 이상 방제",충청남도 금산군 추부면 숭암로 117
1571,공시-3-2-166,호미손(목초액+미생물),작물생육용,(주)한국치유농업연구소,513-88-02410,2023.12.21 ~ 2026.12.20,국립순천대학교 산학협력단,"○ 사용 전 사용방법을 충분히 숙지한 후 사용하십시오. ○ 사용 전 제품을 충분히 흔든 후 사용농도를 준수하여 사용하십시오. ○ 약액이 잎의 앞, 뒷면에 충분히 묻도록 살포하십시오. ○ 본 제품은 미생물제로 다른 약제와 혼용하여 사용하지 마십시오. ○ 제품은 직사광선이 들지 않는 실온에 보관하시고, 사용 후 남은 제품은 밀봉하여 보관하십시오. ○ 어린이 손이 닿는 곳에 놓거나 보관하지 마십시오.",2023.12.21,"20,000원/500ml",- 주성분: Bacillus subtilis 1.0X10^6 CFU/g 이상,Bacillus subtilis,-,043-854-2021,미표시,없음,,충청북도 충주시 창현로 1204 (용관동)
1575,공시-3-3-635,엔그린솔(미생물),토양개량 및 작물생육용,올포그린,156-66-00712,2023.12.21 ~ 2026.12.20,국립순천대학교 산학협력단,"○ 장기보관시 침전물이 발생할 수 있으니 충분히 흔들어서 사용하세요 ○ 절대로 제품을 마시지 말고, 부주의로 마셨을 경우 의사의 진찰을 받으십시오. ○ 서늘한 곳에 밀폐 후 보관하십시오",2023.12.21,"20,000원/500ml, 200,000원/10L, 800,000원/20L(VAT 포함)",- 주성분: Lacticaseibacillus paracasei 1×10^6cfu/mL 이상,,X,070-8836-5320,미표시,없음,,대전광역시 동구 대학로 62 (용운동)
1587,공시-3-6-090,바루잡스(미생물추출물+식물추출물),병해충관리용,㈜지에스엘바이오,616-81-99724,2023.12.21 ~ 2026.12.20,국립순천대학교 산학협력단,"○ 사용량을 준수하여주시고, 기후변화 또는 재배환경에 따라 사용량을 조절하여 사용하십시오. ○ 개봉 후 가급적 빠른 시간 내에 사용하십시오. - 제품을 먹지 않도록 주의 하십시오. ○ 사용 후 남은 제품은 밀봉 후 직사광선이 없는 냉암소에 보관하여 주십시오. ○ 사용 전 충분히 흔든 후에 사용해주십시오. ○ 타 약제와 혼용 시 약해 발생의 우려가 있으므로 확인 후 혼용 살포하십시오.",2023.12.21,"45,000원/500ml(VAT 포함)","- 대표성분: Oleic acid 0.58%, Thymol 1.02% 이상",,-,064-794-2334,표시,,"감귤: 복숭아혹진딧물, 꽃노랑총채벌레, 귤응애",제주특별자치도 서귀포시 대정읍 일주서로3000번길 137-10
1596,공시-2-4-230,케이바이오(미생물),병해관리용,㈜케이글로벌,129-81-42561,2024.02.22 ~ 2027.02.21,강원대학교 산학협력단,- 사용량을 준수하십시오. - 타 제품 혼용 시 사전 소량 시험 후 이상이 없을 경우에 사용하십시오. - 보관 시 5℃ 이상 30℃ 이하에서 직사광선을 피하고 건조하고 서늘한 곳에 보관하십시오. - 어린이 손이 닿지 않는 곳에 보관하십시오. - 사용 후 잔량은 마개를 잘 막아서 보관하고 1주일 이내에 사용하십시오.,2024.02.22,"10,000원/500mL",*주성분의 종류 및 함량: Bacillus subtilis,Bacillus subtilis,없음,031-334-6189,미표시,없음,,전북특별자치도 익산시 함열읍 익산대로78길 169
1597,공시-2-4-231,마이크롬(미생물추출물),병해관리용,농업회사법인 ㈜와이앤바이오,409-86-10714,2024.02.22 ~ 2027.02.21,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오.,2024.02.22,"30,000원/500mL",*주성분의 종류 및 함량: Surfactin 0.25% *책임보험정보: 농협손해보험㈜_319-1159-3799-83,,없음,061-381-5432,표시,,"적용대상 작물명 및 효과: 고추(탄저병), 방울토마토(잿빛곰팡이병) / 무처리구 대비 50% 이상 방제",전라남도 담양군 대덕면 신등갈길 82
1598,공시-2-3-860,네박자(미생물),토양개량 및 작물생육용,농업회사법인 ㈜와이앤바이오,409-86-10714,2024.01.25 ~ 2027.01.24,강원대학교 산학협력단,- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오.,2024.01.25,"25,000원/250g","*주성분의 종류 및 함량: Acinetobacter calcoaceticus 1.0×10^6 cfu/g, Bacillus velenzensis 1.0×10^6 cfu/g *책임보험정보: 농협손해보험㈜_319-1159-3799-83",Bacillus velenzensis,없음,061-381-5432,미표시,없음,,전라남도 담양군 대덕면 신등갈길 82
1606,공시-3-6-095,미생플러스(미생물),병해충관리용,㈜한마음생명산업,410-86-34792,2024.01.25 ~ 2027.01.24,국립순천대학교 산학협력단,"""○ 정식 15일 전 시비하여 경운하시기 바랍니다. ○ 소, 개, 고양이 등 가축이 섭취하지 않도록 주의하여 주시기 바랍니다. ○ 어린이 손에 닿는 곳에 놓거나 보관하지 말 것 ○ 보관시 직사광선을 피해 건?냉암소에 보관하고, 개봉 후에는 가급적 남기지 않도록 사용하시기 바랍니다.""",2024.01.25,"35,000원/15kg(VAT 별도)",- 대표성분: Beauveria bassiana 1.0×10^5 cfu/g,Beauveria bassiana,-,061-333-2299(061-335-4567),미표시,없음,,전라남도 나주시 동강면 백련산로 140-5
1611,공시-3-4-070,제균탄플러스에스(미생물+황),병해관리용,㈜씨엠씨코리아,314-86-08225,2024.01.25 ~ 2027.01.24,국립순천대학교 산학협력단,"""○ 천연미생물 발효대사물질이 함유되어 있으므로 서늘한 곳에 보관하십시오. ○ 이른 아침이나 해질 무렵 잎의 앞뒷면에 흠뻑 살포하십시오. ○ 강알칼리성 농자재와의 혼용은 삼가십시오. ○ 고온기나 가뭄시에는 사용농도보다 묽게 사용하십시오. ○ 천연물이므로 기후나 재배환경에 따라 다소 효과의 차이가 있습니다. ○ 어린이 손에 닿지 않게 보관하시고 음용하지 마십시오.""",2024.01.25,"22,000원/500mL, 30,000원/1L","- 대표성분: 황전량 2%, Paenibacillus polymyxa 1×10^6 이상",Paenibacillus polymyxa,-,042-671-3378~9,표시,,"오이(흰가루병), 오이(노균병), 벼(잎도열병)",대전광역시 유성구 국제과학7로 6 (신동)
1632,공시-2-4-233,오리자맥스(Orizamax)(미생물),병해관리용,㈜한얼싸이언스,114-86-24834,2024.03.28 ~ 2027.03.27,강원대학교 산학협력단,"- 병해관리를 위해 병해 발생 초기에 작물 전체에 골고루 묻도록 살포하십시오. - 물에 희석한 후 4시간 이내에 사용하십시오. - 살아있는 미생물제제이므로 서늘한 곳에서 보관하십시오. - 타 미생물 제품 또는 액비와 혼용하면 효과 감소를 초래할 수 있습니다. - 세균을 억제하는 화학 살균제 또는 농용 항생제와 동시에 사용하지 마십시오. - 사용 전에 표기 내용의 표시사항을 자세히 읽고 사용하십시오. - 본 제품을 사료나 식품 등과 분리하여 보관하여 주십시오. - 본 제품은 개봉 후 바로 사용하여 주시고, 사용 후 남은 제품은 밀봉 후 직사광선이 없는 서늘한 곳에 보관하십시오.",2024.03.28,"15,000원/100g, 25,000원/200g",*주성분의 종류 및 함량: Bacillus methylotrophicus *책임보험정보: 대한상공회의소_202312-205,Bacillus methylotrophicus,없음,033-930-7700,미표시,없음,,강원특별자치도 태백시 철암공단길 16-30 (철암동)
1633,공시-2-4-234,튼튼맨(미생물),병해관리용,㈜마이크로자임,409-86-19995,2024.04.25 ~ 2027.04.24,강원대학교 산학협력단,"- 사용 전후 밀폐 용기로 건ㆍ냉암소 보관 - 사용 전 제품을 충분히 흔들고, 물에 희석 시 골고루 휘저어 주십시오. - 타 제품과 혼용 시 사전에 시험 후 사용하십시오. - 강알칼리성 자재, 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 보관 중 침전 현상이 있을 수 있으니 흔들어 사용하십시오.",2024.04.25,"35,000원/1L",*주성분의 종류 및 함량: Bacillus siamensis 1.0×10^6 cfu/mL,Bacillus siamensis,없음,061-363-0607,표시,,"적용대상 작물명 및 효과: 토마토(검은잎곰팡이병, 겹무늬병, 잿빛곰팡이병, 시들음병) / 무처리구 대비 50% 이상 방제",전북특별자치도 정읍시 첨단2로 78 (신정동)
1637,공시-2-3-875,자연토 골드(미생물+자연암석분말),토양개량 및 작물생육용,고려바이오㈜,124-86-37020,2024.03.28 ~ 2027.03.27,강원대학교 산학협력단,- 사용 전에 반드시 흔들어 사용하십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 본 제품은 생균제로 보관 중 일부 발생되는 침전물은 흔들어 사용하시면 효과에는 지장이 없습니다. - 개봉 후 시간이 경과함에 따라 미생물 함량이 감소할 수 있으므로 가급적 빠른 시간 내에 사용하십시오. - 사용 후 제품이 남았을 시 반드시 밀봉을 한 뒤 햇볕을 피하여 건조하고 서늘한 곳에 보관하십시오.,2024.03.28,"30,000원/10kg",*주성분의 종류 및 함량: Paenibacillus polymyxa 1.0×10^6 cfu/g *책임보험정보: 대한상공회의소_202402-126,Paenibacillus polymyxa,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
1639,공시-2-3-876,김포유산 그린(목초액+미생물추출물+주정찌꺼기),토양개량 및 작물생육용,㈜쎌바이오텍,136-81-13410,2024.03.28 ~ 2027.03.27,강원대학교 산학협력단,- 냉암소에 보관하십시오.,2024.03.28,"20,000원/1L, 200,000원/10L, 400,000원/20L, 1,000,000원/50L, 2,000,000원/100L, 20,000,000원/1,000L",*주성분의 종류 및 함량: 질소전량,,없음,031-987-6205,미표시,없음,,경기도 김포시 월곶면 애기봉로409번길 50
1640,공시-2-3-877,단단한유산 그린(목초액+미생물추출물+주정찌꺼기+탄산칼슘),토양개량 및 작물생육용,㈜쎌바이오텍,136-81-13410,2024.03.28 ~ 2027.03.27,강원대학교 산학협력단,- 냉암소에 보관하십시오.,2024.03.28,"20,000원/1L, 200,000원/10L, 400,000원/20L, 1,000,000원/50L, 2,000,000원/100L, 20,000,000원/1,000L",*주성분의 종류 및 함량: 질소전량,,없음,031-987-6205,미표시,없음,,경기도 김포시 월곶면 애기봉로409번길 50
1641,공시-2-3-878,찬란한유산 그린(미생물추출물+주정찌꺼기+해조류추출물),토양개량 및 작물생육용,㈜쎌바이오텍,136-81-13410,2024.03.28 ~ 2027.03.27,강원대학교 산학협력단,- 냉암소에 보관하십시오.,2024.03.28,"20,000원/1L, 200,000원/10L, 400,000원/20L, 1,000,000원/50L, 2,000,000원/100L, 20,000,000원/1,000L",*주성분의 종류 및 함량: 질소전량,,없음,031-987-6205,미표시,없음,,경기도 김포시 월곶면 애기봉로409번길 50
1645,공시-3-3-661,리첸풀빅(미생물+토탄추출물),토양개량 및 작물생육용,㈜대유,515-81-00326,2024.03.28 ~ 2027.03.27,국립순천대학교 산학협력단,"- 사용 전에 충분히 흔들어 주신 후 사용하여 주십시오. - 이른 아침 또는 오후 늦게 살포하여야 효과적이며, 햇빛이 강할 때 또는 기온이 높을 때에는 사용을 피하여 주십시오. - 본 제품은 미생물제제이므로 유통기간이 경과한 제품은 효과가 감소되므로 사용을 피하는 것이 좋습니다. - 고온기(30℃ 이상)가 지속되는 비닐하우스, 온실 및 일반 노지와 어린묘, 유과기(어린과실), 수세가 약할 때 또는 이상기후(저온, 희린날씨) 및 가뭄이 계속될 때에는 가감하여 사용해 주십시오. - 살아있는 미생물 제제이므로 장기간 보관시는 냉암소(5~15℃)에 보관하는 것이 좋습니다. - 사용 후 남은 것은 공기가 통하지 않게 뚜껑을 잘 닫은 후 어린아이의 손에 닿지 않는 서늘한 곳에 보관하여 주십시오. - 먹거나 마시지 마십시오.",2024.03.28,"30,000원/1L","- 주성분: Bacillus licheniformis 1.0×10^7 CFU/g, 질소전량",Bacillus licheniformis,-,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
1665,공시-2-3-885,메소나 입제(미생물추출물+자연암석분말),토양개량 및 작물생육용,글로벌아그로㈜,206-81-84024,2024.05.23 ~ 2027.05.22,강원대학교 산학협력단,"- 처리 약량을 준수하여 토양에 골고루 뿌려주십시오. - 안전성이 입증된 제품이지만 절대로 먹지 마시고 눈과 피부에 닿지 않도록 주의하십시오. - 어린이 및 노약자 손에 닿지 않게 하시고, 장기간 보관 시 직사광선 및 습한 곳을 피해 보관해 주십시오. - 개봉 후 남은 경우에는 잘 밀봉하여 건조한 냉암소에 보관하십시오.",2024.05.23,"10,000원/1kg, 30,000원/3kg, 50,000원/5kg",*주성분의 종류 및 함량: 규산전량 *책임보험정보: DB손해보험㈜_120240961842,,없음,1800-0584,미표시,없음,,경상북도 안동시 풍산읍 절뒤길 18
1676,공시-3-6-100,대유님비티(님추출물+미생물),병해충관리용,㈜대유,515-81-00326,2024.05.23 ~ 2027.05.22,국립순천대학교 산학협력단,"○ 사용 전에 충분히 흔들어 주신 후 사용하여 주십시오. ○ 섭식이 가장 활발한 유충의 발생초기에 해충에 직접 맞을수 있도록 잎의 앞뒷면에 약액을 충분히 살포하여 주십시오. ○ 누에에는 장기간 독성이 있으니 뽕나무 주위에서는 사용하지 마시고 약제가 누에나 잠구에 묻지 않도록 주의하여 주십시오. ○ 이른 아침 또는 오후 늦게 살표하여야 효과적이며, 햇빛이 강할 때 또는 기온이 높을 때에는 사용을 피해 주십시오. ○ 고온기(30℃ 이상)가 지속되는 비닐하우스, 온실 및 일반 노지와 어린묘, 유과기(어린과실), 수세가 약할 때 또는 이상 기후(저온, 흐린날씨) 및 가뭄이 계속될 때에는 2,000배액 이상으로 가감하여 사용하여 주십시오. ○ 살아있는 미생물제제이므로 직사광선을 피하고 서늘하고 건조한 곳에서 보관 하는 것이 좋으며 장기간 보관시에는 냉암소(5~15℃)에 보관하여 주십시오. - 먹거나 마시지 마십시오.",2024.05.23,"35,000원/500mL","Azadirachtin 0.18%, Bacillus thuringiensis 1.0X10^6 CFU/g",Bacillus thuringiensis,X,02-556-6293(043-834-3012),미표시,없음,,충청북도 괴산군 괴산읍 대제산단1길 12
1678,공시-2-5-330,제노비티(미생물+미생물추출물),충해관리용,고려바이오㈜,124-86-37020,2024.06.27 ~ 2027.06.26,강원대학교 산학협력단,"- 이른 아침에 사용하시고, 살포 후 빠른 시간 안에 자연 건조 시켜주십시오. - 해가 진 후 흐리고 습하거나 비가 오는 날은 살포하지 마십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 사용 후 제품이 남았을 시 반드시 밀봉을 한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.",2024.06.27,"30,000원/500g","*주성분의 종류 및 함량: Bacillus thuringiensis, Benzylidenacetone *책임보험정보: 대한상공회의소_202402-126",Bacillus thuringiensis,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
1679,공시-2-3-887,든든한유산 그린(미생물추출물),토양개량 및 작물생육용,㈜쎌바이오텍,136-81-13410,2024.06.27 ~ 2027.06.26,강원대학교 산학협력단,- 냉암소에 보관하십시오.,2024.06.27,"20,000원/1L, 200,000원/10L, 400,000원/20L, 1,000,000원/50L, 2,000,000원/100L, 20,000,000원/1,000L",*주성분의 종류 및 함량: 질소전량,,없음,031-987-6205,미표시,없음,,경기도 김포시 월곶면 애기봉로409번길 50
1681,공시-2-5-331,제노메타(미생물),충해관리용,고려바이오㈜,124-86-37020,2024.06.27 ~ 2027.06.26,강원대학교 산학협력단,"- 이른 아침에 사용하시고, 살포 후 빠른 시간 안에 자연 건조 시켜주십시오. - 해가 진 후 흐리고 습하거나 비가 오는 날은 살포하지 마십시오. - 강알칼리성 제제와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 사용 후 제품이 남았을 시 반드시 밀봉을 한 뒤 햇빛을 피하여 건조하고 서늘한 곳에 보관하십시오.",2024.06.27,"30,000원/500g",*주성분의 종류 및 함량: Metarhizium rileyi *책임보험정보: 대한상공회의소_202402-126,,없음,031-354-8183,미표시,없음,,경기도 화성시 효행구 정남면 정남동로 346
1682,공시-2-3-888,아미러스(토양미생물제제),토양개량 및 작물생육용,㈜누보,474-86-01636,2024.06.27 ~ 2027.06.26,강원대학교 산학협력단,- 미생물이 함유된 제품으로 직사광선을 피하고 밀봉하여 25℃ 이하의 서늘한 곳에 보관하십시오. - 개봉 후에는 가능한 모두 사용하십시오. - 어린이 손에 닿는 곳에 놓거나 보관하지 마세요. - 사용방법을 준수하고 별도의 사용 시 문의 바랍니다.,2024.06.27,"40,000원/500g",*주성분의 종류 및 함량: Bacillus subtilis 1.5×10^6 cfu/g *책임보험정보: 현대해상화재보험㈜_F-2023-1226218,Bacillus subtilis,제 울산 울주059-가-20301 호,1544-3098(055-365-3098),표시,비료등록,비료등록제품,울산광역시 울주군 온산읍 대정로 106
1684,공시-2-3-889,옥스팜(토탄),토양개량 및 작물생육용,천연비료,215-14-33610,2024.06.27 ~ 2027.06.26,강원대학교 산학협력단,- 토양 상태에 따라 가감하여 사용하세요. - 토양혼화처리 시 병해관리용 자재와 동시 사용은 제품의 기능을 저하시킬 수 있으니 동시 사용을 피해주세요. - 시비 후 반드시 관수를 충분히 하시고 미생물 층의 보호를 위해 중경을 피해주세요. - 직사광선이 들지 않는 건조하고 서늘한 장소에 보관하세요. - 개봉된 제품은 전부 사용하거나 밀봉하여 보관하시고 어린이의 손에 닿지 않는 곳에 보관하세요.,2024.06.27,"45,000원/20kg",*주성분의 종류 및 함량: 질소전량,,없음,1577-5963,미표시,없음,,경기도 이천시 율면 금율로 596-7
1695,공시-3-3-678,신강토그래뉼(토양미생물제제),토양개량 및 작물생육용,주식회사 지비텍,660-88-03132,2024.07.25 ~ 2027.07.24,국립순천대학교 산학협력단,- 별도표기,2024.07.25,"30,000원/10kg",- 주성분: Bacillus subtilis 1.0×10^6 cfu/g,Bacillus subtilis,제 경기 여주070-가-20301 호,031-882-4541,표시,비료등록,토양미생물제제 비료등록제품,경기도 여주시 북내면 여양3로 77-20
1698,공시-3-3-680,이노튼튼골드(미생물+제당산업의부산물),토양개량 및 작물생육용,㈜이노바텍,140-81-00480,2024.07.25 ~ 2027.07.24,국립순천대학교 산학협력단,○ 직사광선을 피하고 서늘한 곳에 보관,2024.07.25,"15,000원/200g",- 주성분: Bacillus amyloliquefaciens 1.0×10^6 CFU/g 이상,Bacillus amyloliquefaciens,-,063-535-5833,미표시,없음,,전북특별자치도 정읍시 북면 3산단2길 75
1708,공시-2-6-122,프로킹(미생물추출물+식물추출물),병해충관리용,㈜현농,409-81-95886,2024.09.26 ~ 2027.09.25,강원대학교 산학협력단,"- 제품의 사용방법 및 사용농도에 관한 사항을 숙지하십시오. - 식물추출물 제품으로 반드시 30℃ 이하 서늘하고 그늘진 곳에 보관하십시오. - 사용 전 잘 흔들어 사용하십시오. - 한낮을 피하고 햇빛이 없을 때를 선택하여 엽면에 고루 닿도록 살포하십시오. - 산, 알카리성 농자재와는 혼용하여 사용하지 마십시오. - 어린이 손이 닿지 않는 곳에 보관하십시오. - 이 유기농업자재는 약한 안자극성이 있으므로 보안경, 방제복, 마스크, 고무장갑을 착용하고 눈에 들어가지 않도록 주의하여 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오.",2024.09.26,"25,000원/500mL, 40,000원/1L, 70,000원/2L, 120,000원/4L","*주성분의 종류 및 함량: Surfactin 0.001%, Eugenol 3.8%",,없음,061-393-5316,표시,,적용대상 작물명 및 효과: 벼(애멸구) / 무처리구 대비 50% 이상 방제,전라남도 장성군 남면 나노산단3로 33-5
1719,공시-3-3-682,나야나(미생물추출물),토양개량 및 작물생육용,눈부신자연애바이오(주),780-86-02694,2024.09.26 ~ 2027.09.25,국립순천대학교 산학협력단,"○ 사용 전 잘 혼합하여 사용하십시오. ○ 개봉한 제품을 가급적 빨리 사용해 주십시오. ○ 그늘지고 서늘한 곳에 보관하십시오. ○ 잔여 용액은 밀폐된 용기에 보관하십시오. ○ 화학물질과 혼합하지 마십시오.""",2024.09.26,"40,000원/2L",- 주성분: 질소전량,,-,063-902-6603,미표시,없음,,전북특별자치도 완주군 소양면 마수길 1-1
1723,공시-3-3-686,현진바이오 멀티유기산(토양미생물제제),토양개량 및 작물생육용,현진바이오,320-12-02109,2024.09.26 ~ 2027.09.25,국립순천대학교 산학협력단,"○강알카리성 자재와 혼용하지 마십시오. ○ 흔들어서 개봉하면 가스가 발생합니다. ○ 인체에 무해하나 음용을 금지합니다. ○ 혼합한 제품은 바로 사용하십시오. 고농도 사용시 생육이 둔화합니다. ○ 황 및 구리 등 살균제와 혼용을 금지합니다.""",2024.09.26,,-주성분: Bacillus subtilis 1.0*10^6 CFU/ml 이상,Bacillus subtilis,제 전북 익산077-가-20301 호,063-851-2109,표시,,토양미생물제제 비료등록 제품,전북특별자치도 익산시 황등면 원신기길 46
1728,공시-2-3-902,유기토왕골드(동물부산물+미생물+토탄추출물),토양개량 및 작물생육용,제일농산친환경영농조합법인,409-81-91541,2024.10.24 ~ 2027.10.23,강원대학교 산학협력단,- 사용 전 사용방법을 충분히 숙지한 후 사용하십시오. - 제품 보관 시 직사광선을 피하고 서늘한 곳에 보관하십시오. - 개봉 후에는 가능한 빨리 사용하십시오.,2024.10.24,"35,000원/10kg","*주성분의 종류 및 함량: 질소전량, Paenibacillus polymyxa 1.0×10^6 cfu/g",Paenibacillus polymyxa,없음,061-382-7599,미표시,없음,,전라남도 담양군 용면 통시암길 30
1733,공시-3-3-688,세레스(미생물+토탄추출물+해조류추출물),토양개량 및 작물생육용,㈜누림,221-81-31884,2024.10.24 ~ 2027.10.23,국립순천대학교 산학협력단,"""○ 사용 전에 충분히 흔들어서 사용해 주십시오. ○ 햇빛이 강한 한낮에는 사용을 피해주시고 늦은 오후에 살포하여 주십시오. ○ 제품보관은 서늘하고 건조한곳에 보관 하십시오. ○ 절대로 음용하지 마시고, 어린이 손에 닿지 않는곳에 보관하십시오. ○ 타농자재와 혼용 시 소량 일부 살포 후 이상이 없을 때 사용하여 주십시오. ○ 알칼리성 물질이나 동제 화합물과의 혼용은 삼가십시오.""",2024.10.24,"20,000원/500mL","- 주성분: Bacillus velezensis, Bacillus licheniformis1.0×10^6 CFU/㎖ 이상","Bacillus velezensis, Bacillus licheniformis",-,033-251-2511,미표시,없음,,강원특별자치도 춘천시 동내면 거두단지1길 29
1737,공시-3-3-692,팜프바이오차(농림부산물바이오차+동물부산물+미생물),토양개량 및 작물생육용,팜프랜드,870-03-00017,2024.10.24 ~ 2027.10.23,국립순천대학교 산학협력단,"""○ 사용 전 사용방법을 충분히 숙지한 후 사용하십시오. ○ 제품 보관 시 직사광선을 피하고 서늘한 곳에 보관하십시오. ○ 개봉 후에는 가능한 빨리 사용하십시오.""",2024.10.24,"30,000원/10kg","- 주성분: 질소전량, Paenibacillus polymyxa 1.0X10^6 CFU/g",Paenibacillus polymyxa,-,043-848-2015,미표시,없음,,충청북도 충주시 금가면 강수로 81-5
1740,공시-3-5-109,백강플러스(미생물),충해관리용,농업회사법인 시온바이오(주),323-86-01468,2024.10.24 ~ 2027.10.23,국립순천대학교 산학협력단,○ 서늘한 그늘에 사온 보관바랍니다. 고압분무기는 사용하지 마십시오.(고압분무기 사용하면 백강탄 포자가 사명합니다.) ○ 백강탄은 살아있는 곰팡이입니다. 살균제와는 접촉을 피해주십시오 ○ 개봉한 백강탄은 습한 곳에 놓으면 곰팡이가 발생할 수 있습니다.,2024.10.24,,- 대표성분: 미생물(Beauveria Bassiana)1*10^6cfu/g,Beauveria sp.,-,041-541-6642,미표시,없음,,충청남도 예산군 신암면 신암남로 235
1742,공시-2-4-239,튼튼맨프리(미생물추출물),병해관리용,㈜마이크로자임,409-86-19995,2024.11.28 ~ 2027.11.27,강원대학교 산학협력단,"- 사용 전 밀폐용기로 건ㆍ냉암소에 보관하십시오. - 사용 전 제품을 충분히 흔들고, 물에 희석 시 골고루 휘저어 주십시오. - 타 제품과 혼용 시 사전에 시험 후 사용하십시오. - 강알카리성 자재와 석회보르도액 및 유황합제와는 혼용하지 마십시오. - 보관 중 침전 현상이 있을 수 있으니 흔들어 사용하십시오. - 이 유기농업자재는 약한 피부자극성이 있으므로 고무장갑, 방제복, 마스크, 보안경을 착용하고 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오.",2024.11.28,"35,000원/1L",*주성분의 종류 및 함량: Surfactin 0.16%,,없음,061-363-0607,표시,,"적용대상 작물명 및 효과: 토마토(검은잎곰팡이병, 겹무늬병, 잿빛곰팡이병, 시들음병) / 무처리구 대비 50% 이상 방제",전북특별자치도 정읍시 첨단2로 78 (신정동)
1745,공시-2-6-125,슈퍼탄분상(규조토+미생물),병해충관리용,㈜에코윈,503-81-81554,2024.11.28 ~ 2027.11.27,강원대학교 산학협력단,"- 직사광선을 피하고 서늘한 그늘에 보관 - 이 유기농업자재는 약한 안자극성이 있으므로 보안경, 방제복, 마스크, 고무장갑을 착용하고 바람을 등지고 뿌리되 작업 후에는 입안을 물로 헹구고 손, 발, 얼굴 등을 비눗물로 깨끗이 씻으십시오.",2024.11.28,"25,000원/250g, 45,000원/500g","*주성분의 종류 및 함량: 규산전량, Streptomyces griseofuscus *책임보험정보: 대한상공회의소_201501-014",Streptomyces griseofuscus,없음,053-582-0321,미표시,없음,,대구광역시 달성군 유가읍 테크노중앙대로2길 18
1749,공시-2-3-907,바이오코인(미생물+점토광물+제당부산물),토양개량 및 작물생육용,바실리㈜,111-87-03292,2024.11.28 ~ 2027.11.27,강원대학교 산학협력단,- 섭취 금지 - 개봉 후 빠르게 사용 권장(시간 경과에 따른 미생물 함량 감소 가능) - 남은 제품은 밀봉 후 햇빛을 피한 서늘하고 건조한 곳에 보관,2024.11.28,"10,000원/40g, 11,000원/100g",*주성분의 종류 및 함량: Bacillus velezensis 1.0×10^6 cfu/g,Bacillus velezensis,없음,054-820-7119(010-7979-1974),미표시,없음,,경상북도 안동시 풍산읍 번곡길 5-2
